Drinking Fountain,1169,DRINKING FOUNTAIN, , , , , , , , ,Terry Hughes Park, , , , , , , , , , , ,86,-122.911154301969,49.2212695372246
Drinking Fountain,730,DRINKING FOUNTAIN, , , , , , , , ,Moody Park, , , , , , , , , , , ,145,-122.927906145361,49.2117638442743
Drinking Fountain,1217,DRINKING FOUNTAIN, , , , , , , ,blue metal,Connaught Heights Park, , , , , , , , , , , ,254,-122.954627699358,49.2032697797038
Drinking Fountain,1267,DRINKING FOUNTAIN, , , , , , , , ,Ryall Park Grounds,,,,,,,,,,,,304,-122.942307099608,49.1852613199032
Drinking Fountain,1637,DRINKING FOUNTAIN,,,,,,,,,Port Royal,,,,,,,,,,,,469,-122.925610697148,49.1955743738086
Drinking Fountain,24,DRINKING FOUNTAIN,,,,,,,,at native memorial,Queens Park,,,,,,,,,,,,608,-122.905095263763,49.2142703845388
Drinking Fountain,378,DRINKING FOUNTAIN,,,,,,,,,Waterfront Esplanade,,,,,,,,,,,,615,-122.922109786979,49.1982238390391
Drinking Fountain,1788,DRINKING FOUNTAIN,,,,,,,,blue metal,Canada Games Pool,,,,,,,,,,,,810,-122.908225494717,49.2210876118876
Drinking Fountain,234,DRINKING FOUNTAIN,,,,,,,,,City Hall Grounds,,,,,,,,,"MONUMENT WITH DRINKING FOUNTAIN""TIM"" - TIMOTHY JACKSON MAHONY - 1924",,,1053,-122.911524889257,49.2063899348634
Drinking Fountain,191,DRINKING FOUNTAIN,,,,,,,,,Friendship Gardens,,,,,,,,,GYRO CLUB 1974,,,1127,-122.910596029956,49.2075278790323
Drinking Fountain,133,DRINKING FOUNTAIN,,,,,,,,,Queens Park,,,,,,,,,,,,1151,-122.905723176082,49.2155725231881
Drinking Fountain,86,DRINKING FOUNTAIN,,,,,,,,,Queens Park,,,,,,,,,,,,1238,-122.908324065408,49.2163326570142
Drinking Fountain,1033,DRINKING FOUNTAIN,,,,,,,,blue metal,Sapperton Park,,,,,,,,,,,,1472,-122.894453000521,49.2277671403011
Drinking Fountain,682,DRINKING FOUNTAIN,,,,,,,,,Moody Park,,,,,,,,,,,,1480,-122.925485735161,49.2112901312662
Drinking Fountain,585,DRINKING FOUNTAIN,,,,,,,,Water Tap,Hume Park Lower,,,,,,,,,,,,1522,-122.890778763919,49.2345050401878
Drinking Fountain,594,DRINKING FOUNTAIN,,,,,,,,Water Tap,Hume Park Lower,,,,,,,,,,,,1530,-122.889702907665,49.2333539632699
Drinking Fountain,549,DRINKING FOUNTAIN,1965,,,,,,,Concrete. This fountian is currently decomissioned.,Hume Park Lower,,,,,,,,,,,,1718,-122.891745800044,49.2356007695907
Drinking Fountain,2023,DRINKING FOUNTAIN,,,,,,,,,Hume Park Lower,,,,,,,,,,,,10505,-122.890782929381,49.2334399855436
Drinking Fountain,2025,DRINKING FOUNTAIN,,,,,,,,,Westburnco Sports Courts,,,,,,,,,,,,10506,-122.90608565062,49.2295297764261
Drinking Fountain,23,DRINKING FOUNTAIN,,,,,,,,,,,,,,,,,,,,,10507,-122.897802426736,49.2113669105781
Drinking Fountain,2014,DRINKING FOUNTAIN,,,,,,,,,Queens Park,,,,,,,,,,,,10509,-122.898566505479,49.2138561901016
Drinking Fountain,2015,DRINKING FOUNTAIN,,,,,,,,,Queens Park,,,,,,,,,,,,10510,-122.902203447036,49.2130852176085
Drinking Fountain,2026,DRINKING FOUNTAIN,,,,,,,,,Terry Hughes Park,,,,,,,,,,,,10511,-122.913037109604,49.2210941256604
Drinking Fountain,2016,DRINKING FOUNTAIN,,,,,,,,,Queens Park,,,,,,,,,,,,10512,-122.904810157761,49.2147957496839
Drinking Fountain,24,DRINKING FOUNTAIN,,,,,,,,,Queens Park,,,,,,,,,,,,10513,-122.904819739204,49.2136029156091
Drinking Fountain,86,DRINKING FOUNTAIN,,,,,,,,,Queens Park,,,,,,,,,,,,10514,-122.909329918321,49.216700860405
Drinking Fountain,730,DRINKING FOUNTAIN,,,,,,,,,Moody Park,,,,,,,,,,,,10515,-122.927599840656,49.2132311560386
Drinking Fountain,2017,DRINKING FOUNTAIN,,,,,,,,,Westminster Pier Park,,,,,,,,,,,,10516,-122.904810658687,49.20359166039
Drinking Fountain,2018,DRINKING FOUNTAIN,,,,,,,,,Westminster Pier Park,,,,,,,,,,,,10517,-122.904610600574,49.203740246112
Drinking Fountain,2019,DRINKING FOUNTAIN,,,,,,,,,Westminster Pier Park,,,,,,,,,,,,10518,-122.904441592796,49.2040334422136
Drinking Fountain,2029,DRINKING FOUNTAIN,,,,,,,,,Port Royal,,,,,,,,,,,,10519,-122.930449973872,49.1945704945134
Drinking Fountain,2030,DRINKING FOUNTAIN,,,,,,,,,Port Royal,,,,,,,,,,,,10520,-122.923188001731,49.1949511445035
Drinking Fountain,2031,DRINKING FOUNTAIN,,,,,,,,,Port Royal,,,,,,,,,,,,10521,-122.925615506485,49.1916602889449
Drinking Fountain,2032,DRINKING FOUNTAIN,,,,,,,,,Port Royal,,,,,,,,,,,,10522,-122.923037231885,49.1944042361634
Drinking Fountain,2033,DRINKING FOUNTAIN,,,,,,,,,Port Royal,,,,,,,,,,,,10523,-122.925897833249,49.1966870489055
Drinking Fountain,2034,DRINKING FOUNTAIN,,,,,,,,,Port Royal,,,,,,,,,,,,10524,-122.955726442397,49.1772433374375
Drinking Fountain,2027,DRINKING FOUNTAIN,,,,,,,,,,,,,,,,,,,,,10525,-122.950382820926,49.1983831199272
Drinking Fountain,2028,DRINKING FOUNTAIN,,,,,,,,,Grimston Park,,,,,,,,,,,,10527,-122.943882406551,49.2020824423616
Drinking Fountain,2020,DRINKING FOUNTAIN,,,,,,,,,,,,,,,,,,,,,10528,-122.914960320303,49.2019221443897
Drinking Fountain,2021,DRINKING FOUNTAIN,,,,,,,,,,,,,,,,,,,,,10529,-122.919504733413,49.2004380815092
Drinking Fountain,2024,DRINKING FOUNTAIN,,,,,,,,,,,,,,,,,,,,,10530,-122.926509470158,49.2177986601719
Drinking Fountain,2022,DRINKING FOUNTAIN,,,,,,,,,Hume Park Lower,,,,,,,,,,,,10532,-122.891428659667,49.2354699976687
